"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 18:58:52 GMT 2025","Sun Oct 26 18:58:52 GMT 2025","517","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [7] New Name , Name must contain two words with letters only",""
"passed","Sun Oct 26 18:58:47 GMT 2025","Sun Oct 26 18:58:48 GMT 2025","674","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [1] 1.1754944E-38",""
"passed","Sun Oct 26 18:58:50 GMT 2025","Sun Oct 26 18:58:51 GMT 2025","535","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [4] New Name Zoe, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:58:41 GMT 2025","Sun Oct 26 18:58:46 GMT 2025","4594","","api.iteration2.TransferMoneyTest","","api.iteration2.TransferMoneyTest","useCanTransferMoneyToAnotherUserTest","useCanTransferMoneyToAnotherUserTest(float, float, String) [1] 1.1754944E-38, 1.1754944E-38, Transfer successful",""
"passed","Sun Oct 26 18:58:48 GMT 2025","Sun Oct 26 18:58:48 GMT 2025","642","","api.iteration2.DepositMoneyTest","","api.iteration2.DepositMoneyTest","userCanTopUpAccount","userCanTopUpAccount(float) [2] 5000",""
"passed","Sun Oct 26 18:58:53 GMT 2025","Sun Oct 26 18:58:53 GMT 2025","90","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest","adminCanGenerateAuthTokenTest()",""
"passed","Sun Oct 26 18:58:51 GMT 2025","Sun Oct 26 18:58:52 GMT 2025","531","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest","userCannotUpdateNameToNotValidTest(String, String) [6]  New Name, Name must contain two words with letters only",""
"passed","Sun Oct 26 18:58:53 GMT 2025","Sun Oct 26 18:58:53 GMT 2025","354","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
"passed","Sun Oct 26 18:58:52 GMT 2025","Sun Oct 26 18:58:53 GMT 2025","532","","api.iteration2.UpdateUsernameTest","","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest","userCanUpdateNameTest()",""
"passed","Sun Oct 26 18:58:54 GMT 2025","Sun Oct 26 18:58:54 GMT 2025","107","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]",""
