"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1188","userCannotUpdateNameToNotValidTest(String, String) [1]    , Name must contain two words with letters only","","Sat Feb 28 06:19:28 UTC 2026","passed","Sat Feb 28 06:19:29 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","541","userCannotUpdateNameToNotValidTest(String, String) [4] New Name Zoe, Name must contain two words with letters only","","Sat Feb 28 06:19:30 UTC 2026","passed","Sat Feb 28 06:19:31 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","30527","userCanDepositMoneyWithValidSumTest(float) [1] 1","","Sat Feb 28 06:14:55 UTC 2026","broken","Sat Feb 28 06:15:26 UTC 2026","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCanDepositMoneyWithValidSumTest"
"","424","userCanCreateAccountTest()","","Sat Feb 28 06:19:39 UTC 2026","passed","Sat Feb 28 06:19:39 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","557","userCannotUpdateNameToNotValidTest(String, String) [5] New_Name, Name must contain two words with letters only","","Sat Feb 28 06:19:31 UTC 2026","passed","Sat Feb 28 06:19:32 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","94","adminCanGenerateAuthTokenTest()","","Sat Feb 28 06:19:38 UTC 2026","passed","Sat Feb 28 06:19:38 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","30294","userCanCreateAccountTest()","","Sat Feb 28 06:18:58 UTC 2026","broken","Sat Feb 28 06:19:28 UTC 2026","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","30329","userCannotUpdateNameToInvalidTest(String) [1] a","","Sat Feb 28 06:13:54 UTC 2026","broken","Sat Feb 28 06:14:24 UTC 2026","","ui.iteration2.UpdateUsernameTest","ui.iteration2.UpdateUsernameTest","userCannotUpdateNameToInvalidTest"
"","30016","adminCanLoginWithCorrectDataTest()","","Sat Feb 28 06:17:28 UTC 2026","broken","Sat Feb 28 06:17:58 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","539","userCannotUpdateNameToNotValidTest(String, String) [6]  New Name, Name must contain two words with letters only","","Sat Feb 28 06:19:32 UTC 2026","passed","Sat Feb 28 06:19:32 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
"","103","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] Abc%, Password33%, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Feb 28 06:19:39 UTC 2026","passed","Sat Feb 28 06:19:39 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","30556","userCannotMakeDepositWithInvalidSumTest(float) [1] 0","","Sat Feb 28 06:14:24 UTC 2026","broken","Sat Feb 28 06:14:55 UTC 2026","","ui.iteration2.DepositMoneyTest","ui.iteration2.DepositMoneyTest","userCannotMakeDepositWithInvalidSumTest"
"","103","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] ab, Password33%, USER, username, [Username must be between 3 and 15 characters]","","Sat Feb 28 06:19:38 UTC 2026","passed","Sat Feb 28 06:19:38 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","342","userCanGenerateAuthTokenTest()","","Sat Feb 28 06:19:37 UTC 2026","passed","Sat Feb 28 06:19:38 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","532","userCanUpdateNameTest()","","Sat Feb 28 06:19:33 UTC 2026","passed","Sat Feb 28 06:19:33 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCanUpdateNameTest"
"","782","userCanTopUpAccount(float) [1] 1.1754944E-38","","Sat Feb 28 06:19:33 UTC 2026","passed","Sat Feb 28 06:19:34 UTC 2026","","api.iteration2.DepositMoneyTest","api.iteration2.DepositMoneyTest","userCanTopUpAccount"
"","550","userCannotUpdateNameToNotValidTest(String, String) [2] Zoe, Name must contain two words with letters only","","Sat Feb 28 06:19:29 UTC 2026","passed","Sat Feb 28 06:19:30 UTC 2026","","api.iteration2.UpdateUsernameTest","api.iteration2.UpdateUsernameTest","userCannotUpdateNameToNotValidTest"
